,property_type,area_sqft,non_landed,bedrooms,price,state,area,median_psf,median_price,nearby_poi_education,nearby_poi_transportation,nearby_poi_healthcare
0,Terrace House,1970,0,3.0,610000,Kuala Lumpur,Kepong,388,775000,37,10,3
1,Terrace House,1539,0,3.0,720000,Kuala Lumpur,Kepong,388,775000,37,10,3
2,Terrace House,1539,0,3.0,670000,Kuala Lumpur,Kepong,388,775000,37,10,3
3,Terrace House,3272,0,3.0,1100000,Kuala Lumpur,Kepong,388,775000,37,10,3
4,Cluster House,990,0,2.0,280000,Kuala Lumpur,Bandar Tun Razak,294,396667,42,11,5
5,Cluster House,1346,0,3.0,410000,Kuala Lumpur,Bandar Tun Razak,294,396667,42,11,5
6,Cluster House,1701,0,2.0,500000,Kuala Lumpur,Bandar Tun Razak,294,396667,42,11,5
7,Condominium/Apartment,1098,1,3.0,450000,Kuala Lumpur,Dutamas,394,432667,58,16,10
8,Condominium/Apartment,1098,1,3.0,438000,Kuala Lumpur,Dutamas,394,432667,58,16,10
9,Condominium/Apartment,1098,1,3.0,410000,Kuala Lumpur,Dutamas,394,432667,58,16,10
10,Terrace House,1873,0,4.0,1390000,Kuala Lumpur,Taman Tun Dr Ismail,814,1541667,35,7,3
11,Terrace House,1905,0,4.0,1635000,Kuala Lumpur,Taman Tun Dr Ismail,814,1541667,35,7,3
12,Terrace House,1905,0,4.0,1600000,Kuala Lumpur,Taman Tun Dr Ismail,814,1541667,35,7,3
13,Terrace House,1647,0,3.0,790000,Kuala Lumpur,Bandar Menjalara,512,635000,35,9,3
14,Terrace House,883,0,3.0,480000,Kuala Lumpur,Bandar Menjalara,512,635000,35,9,3
15,Condominium/Apartment,1076,1,3.0,375000,Kuala Lumpur,Cheras,375,412500,68,16,8
16,Condominium/Apartment,1119,1,3.0,450000,Kuala Lumpur,Cheras,375,412500,68,16,8
17,Condominium/Apartment,1432,1,3.0,600000,Kuala Lumpur,Mont Kiara,402,575000,35,4,3
18,Condominium/Apartment,1432,1,3.0,550000,Kuala Lumpur,Mont Kiara,402,575000,35,4,3
19,Condominium/Apartment,1948,1,2.0,1960000,Kuala Lumpur,Bangsar,1029,1517500,38,11,3
20,Condominium/Apartment,1023,1,3.0,1075000,Kuala Lumpur,Bangsar,1029,1517500,38,11,3
21,Terrace House,1765,0,3.0,770000,Kuala Lumpur,Kepong,432,785000,36,9,2
22,Terrace House,1873,0,3.0,800000,Kuala Lumpur,Kepong,432,785000,36,9,2
23,Terrace House,1604,0,4.0,743000,Kuala Lumpur,Taman OUG,531,864000,33,9,2
24,Terrace House,1647,0,3.0,985000,Kuala Lumpur,Taman OUG,531,864000,33,9,2
25,Condominium/Apartment,1346,1,2.0,660000,Kuala Lumpur,Sentul,472,635000,70,22,15
26,Condominium/Apartment,1346,1,4.0,610000,Kuala Lumpur,Sentul,472,635000,70,22,15
27,Condominium/Apartment,861,1,2.0,100000,Kuala Lumpur,Brickfields,116,100000,58,24,5
28,Terrace House,2347,0,3.0,1100000,Kuala Lumpur,Bandar Baru Sri Petaling,469,1100000,32,8,1
29,Condominium/Apartment,1572,1,2.0,900000,Kuala Lumpur,Bangsar,573,900000,42,13,4
30,Condominium/Apartment,1119,1,3.0,300000,Kuala Lumpur,Pudu,268,300000,104,40,9
31,Hotel/Service Apartment,861,1,1.0,234225,Kuala Lumpur,Bangsar South,272,234225,48,12,6
32,Hotel/Service Apartment,409,1,2.0,300000,Kuala Lumpur,Pudu,733,300000,101,42,6
33,Terrace House,2314,0,4.0,1650000,Kuala Lumpur,Damansara,713,1650000,30,2,2
34,Flat,700,1,3.0,199000,Kuala Lumpur,Setapak,284,199000,56,3,4
35,Terrace House,3466,0,4.0,1910000,Kuala Lumpur,Taman Melawati,551,1910000,39,4,2
