,project_id,latitude,longitude,project_name,state,area,street_name,median_psf,median_price
49,11460,3.161530018,101.6419983,Serene Kiara,Kuala Lumpur,Sri Hartamas,JALAN SERENE KIARA 4,813,2670000
50,11563,3.1405301089999997,101.6269989,Sinaran TTDI,Kuala Lumpur,Taman Tun Dr Ismail,JALAN TUN MOHD FUAD 4,774,1840000
51,11657,3.0861206,101.6902346,Sri Desa Entrepreneur's Park,Kuala Lumpur,Kuchai Lama,JALAN 9/116B,184,210000
52,12062,3.0717,101.748001,Taman Bukit Cheras,Kuala Lumpur,Cheras,JALAN 6/144A,468,700000
53,12065,3.2138700489999996,101.61900329999999,Taman Bukit Desa,Kuala Lumpur,Kepong,JALAN TAMAN BUKIT DESA,683,2050000
54,16992,3.1062957000000004,101.7393841,Taman Bukit Mewah,Kuala Lumpur,Cheras,JALAN LANCANG,489,700000
55,12190,3.0893599989999996,101.6800003,Taman Continental,Kuala Lumpur,Kuchai Lama,JALAN RUKUN 6,402,680000
56,16961,3.1043785,101.6856136,Taman Desa,Kuala Lumpur,Taman Desa,JALAN DESA UTAMA,532,1420000
57,16976,3.0923765,101.67870699999999,Taman Lian Hoe,Kuala Lumpur,Kuchai Lama,JALAN KUCHAI 6,326,750000
58,12560,3.1423520000000003,101.731075,Taman Maluri,Kuala Lumpur,Cheras,JALAN PRIA,352,580000
59,17248,3.1945580000000002,101.6541,Taman Megah Kepong,Kuala Lumpur,Kepong,JALAN 7/39,654,915000
60,16978,3.2206164,101.6988603,Taman Melewar,Kuala Lumpur,Gombak,JALAN BATU GELIGA,265,425000
61,22915,3.0789887,101.69314809999999,Taman Salak Selatan,Kuala Lumpur,Salak Selatan,JALAN PERKASA 10,390,600000
62,12920,3.1198999880000002,101.6819992,Taman Seputeh,Kuala Lumpur,Seputeh,JALAN SEPUTEH 2,542,1300000
63,13082,3.197079897,101.7340012,Taman Sri Rampai,Kuala Lumpur,Setapak,JALAN 3/26,533,470000
64,13092,3.187609911,101.65100100000001,Taman Sri Sinar,Kuala Lumpur,Segambut,JALAN 27/38A,644,388000
65,13154,3.071870089,101.6620026,Taman Tan Yew Lai,Kuala Lumpur,Jalan Klang Lama (Old Klang Road),JALAN BUKIT TINGGI,363,988000
66,13169,3.086390018,101.7369995,Taman Taynton View,Kuala Lumpur,Cheras,JALAN MAHADEVI,352,580000
67,25349,3.2015740000000004,101.710673,Taman Teratai Mewah,Kuala Lumpur,Setapak,OFF JALAN LANGKAWI,365,240000
68,13228,3.2114300730000003,101.67099759999999,Taman Wahyu,Kuala Lumpur,Kepong,JALAN SIBU 4,425,700000
69,17004,3.0692981,101.6681863,Taman Yarl,Kuala Lumpur,Jalan Klang Lama (Old Klang Road),LORONG AWAN BIRU,501,2600000
70,13334,3.16125989,101.7480011,The Elements,Kuala Lumpur,Ampang,JALAN BEMBAN,450,450000
71,13510,3.173285,101.65884100000001,Tiffani Kiara,Kuala Lumpur,Mont Kiara,CHANGKAT DUTA KIARA,607,1360000
72,13520,3.1388700010000004,101.6610031,Tivoli Villas,Kuala Lumpur,Bangsar,JALAN MEDANG TANDUK,621,1497000
73,13652,3.159509897,101.7399979,Villa Aman,Kuala Lumpur,Ampang Hilir,JALAN RITCHIE,551,1600000
74,10138,3.0792707000000004,101.69633370000001,Villa Bahagia,Kuala Lumpur,Salak Selatan,CHANGKAT DUTA KIARA,694,1300000
75,13690,3.1688399310000004,101.6520004,Villa Mont Kiara,Kuala Lumpur,Mont Kiara,JALAN BUKIT KIARA,1376,7200000
76,13230,3.203160048,101.7480011,Wangsa Melawati,Kuala Lumpur,Wangsa Maju,LORONG WANGSA CERIA 1C,510,450000
77,15138,3.07777,101.65550999999999,West Court Taman Sri Sentosa,Kuala Lumpur,Jalan Klang Lama (Old Klang Road),JALAN KELANG LAMA,378,350000
78,28340,0.0,0.0,Serenia City,Selangor,Dengkil,JALAN AMAN SERENIA 7/10 BANDAR SERENIA,388,624088
79,11518,2.92187,101.842003,Setia Ecohill,Selangor,Semenyih,JALAN ECOHILL 1/3B,306,1029334
80,28534,2.9409056000000002,101.4579906,Taman Villa Perdana,Selangor,Telok Panglima Garang,JALAN VILLA PERDANA 6,424,1581667
81,28428,2.8807658,101.7240233,Jenderam Impian,Selangor,Dengkil,JALAN KAJANG-DENGKIL,429,550000
82,12792,2.99621,101.745003,Puncak Utama,Selangor,Kajang,JALAN PUNCAK 1/11,303,442500
