,principle_component_2,principle_component_1,price
0,0.050086572588443005,-0.004636360769010067,610000
1,0.06146389972168918,-0.03610674919623543,720000
2,0.061463899721689134,-0.0361067491962352,670000
3,0.015717013591954793,0.09043195879536872,1100000
4,0.22093731804513045,-0.16442224804000036,280000
5,0.18143508719463525,-0.06725124635214799,410000
6,0.20216868790188638,-0.11250705970645716,500000
7,0.5189943939636091,0.026917976900186564,450000
8,0.5189943939636091,0.026917976900186564,438000
9,0.5189943939636091,0.026917976900186564,410000
10,-0.029934812228669762,0.1896526355770359,1390000
11,-0.030779532572669483,0.191989184137758,1635000
12,-0.030779532572669483,0.191989184137758,1600000
13,0.038330898039356645,-0.01814523934381309,790000
14,0.05849859625234967,-0.0739303362310523,480000
15,0.5091412318299323,0.02261715002524521,375000
16,0.5080061388676829,0.025756887153715505,450000
17,-0.019037715972451765,-0.07946561865221734,600000
18,-0.019037715972451765,-0.07946561865221734,550000
19,0.09947809048804222,0.11759210217609647,1960000
20,0.09379107090828599,0.12122814429254396,1075000
21,0.0030830811306380057,-0.0228463556183861,770000
22,0.00023214996963901043,-0.014960504225949176,800000
23,-0.039919967081393275,0.05776235785553709,743000
24,-0.010950343020145125,-0.010274803965812223,985000
25,0.8597691150398191,0.08864076243467142,660000
26,0.7995596809928235,0.23099456033431057,610000
27,0.48118584995613106,-0.15646797003642443,100000
28,-0.08664257943599893,0.029961349189992895,1100000
29,0.19343778372187959,-0.0281336750054547,900000
30,1.0526903212566898,0.155768317596278,300000
31,0.3387800322145062,-0.237922753621737,234225
32,1.0122012470374417,0.11091809094247103,300000
33,-0.17093513600797142,0.1721389513018729,1650000
34,0.14959165095009294,-0.1399030582194696,199000
35,-0.1296149819486589,0.2628516593315949,1910000
36,-0.054576290107051825,0.40461940474657554,3150000
37,-0.42170507994970197,0.8702596782788118,4500000
38,0.14062911940283837,-0.032664110747769315,600000
39,0.06128911243820861,-0.03285993425470263,680000
40,0.06317557511754483,-0.056194725292778025,590000
41,-0.025115022737509197,-0.030214284581490104,802000
42,-0.024941422830252014,-0.016846523639276436,830000
43,0.396215277980563,-0.1892357032160196,560000
44,-0.0652643496974813,-0.15161146807182072,350000
45,0.9026463291565544,0.12773202372253958,355000
46,-0.04377691163746381,-0.03301102225788215,820000
47,-0.274937080563352,0.643859314957549,3700000
48,0.2924617238725753,-0.028039410940988167,430000
49,0.007344691882773355,-0.19433850488263835,120000
50,0.03077782510019893,-0.0226467966309075,410000
51,0.20230622592431516,-0.08180343755322653,335000
52,-0.05395378217691198,0.06053011504305096,535000
53,0.05488515386220755,-0.1654835905253777,184803
54,-0.09171608655804933,0.17944923709055743,1500000
55,0.022724924772774328,-0.14831950546082595,570000
56,0.13126893067363973,-0.2290581343706694,185000
57,0.3022623013483772,-0.013749402637941754,450000
58,-0.001771992234393407,-0.12941032800373153,360000
59,0.12459840773530981,-0.23014782549511673,200000
60,0.2730692922666556,-0.08262608228053567,288000
61,0.14398682301065016,-0.05710497753655473,485000
62,-0.19296079363416133,0.41719787418540055,2670000
63,0.004387386950023319,0.2519194337696507,1840000
64,0.006229664189631754,-0.1672371638314782,210000
65,-0.20269715784373527,-0.0200454565483792,700000
66,-0.20367239124137337,0.24167173583636167,2050000
