,name,category,latitude,longitude
4344,Sekolah Kebangsaan Seksyen 9 Kota Damansara,education,3.174427,101.583021
4346,Sekolah Kebangsaan Seksyen 7 Kota Damansara,education,3.168543,101.574653
4349,Sekolah Kebangsaan Tropicana,education,3.130281,101.598049
4351,Sekolah Menengah Kebangsaan Tropicana,education,3.128614,101.597215
4354,Tropicana Medical Centre (M) Sdn. Bhd.,healthcare,3.1488296,101.5784713
4356,Surian,transportation,3.149566,101.593712
4358,Kota Damansara,transportation,3.150123,101.57869000000001
4361,Sekolah Kebangsaan Kg Baharu Lanjut,education,2.794571,101.717652
4362,Admal Aviation College,education,2.806302,101.72397099999999
4363,Salak Tinggi,transportation,2.8255556,101.7130556
4364,Sekolah Jenis Kebangsaan (Tamil) Ladang Bukit Rajah,education,3.0912740000000003,101.438365
4365,Asean Culinary Academy,education,3.1008709999999997,101.444351
4366,Sekolah Kebangsaan Batu Belah,education,3.070836,101.443326
4367,Sekolah Kebangsaan Setia Alam,education,3.0942369999999997,101.454463
4368,Sekolah Kebangsaan Taman Klang Utama,education,3.0840509999999997,101.421676
4369,Sekolah Menengah Kebangsaan Taman Klang Utama,education,3.082934,101.42170300000001
4370,Sekolah Jenis Kebangsaan (Tamil) Ladang North Hummock,education,3.104316,101.445674
4371,Sekolah Menengah Kebangsaan Setia Alam,education,3.094164,101.45721999999999
4372,Klinik Desa Batu Belah Klang,healthcare,3.07619,101.436947
4373,Pasar Besar Klang,transportation,3.068396,101.450757
4374,Sekolah Kebangsaan Olak Lempit,education,2.835472,101.587744
4375,Sekolah Jenis Kebangsaan (Tamil) Sg Manggis,education,2.827301,101.541099
4376,Klinik Desa Olak Lempit,healthcare,2.836243,101.587132
4377,Sekolah Jenis Kebangsaan (Tamil) Bangi,education,2.8927697,101.7943183
4378,Sekolah Kebangsaan Bangi,education,2.9048130000000003,101.784463
4379,Sekolah Jenis Kebangsaan (Cina) Yoke Min,education,2.9030240000000003,101.783171
