,name,category,latitude,longitude
0,Sekolah Menengah Kebangsaan Kepong Baru,education,3.19777,101.647
1,Sekolah Kebangsaan Taman Kepong,education,3.19895,101.648
2,Sekolah Kebangsaan Kepong Baru,education,3.205899,101.645528
3,Sekolah Kebangsaan Menjalara,education,3.193969,101.637578
4,Sekolah Menengah Kebangsaan Taman Bukit Maluri,education,3.20245,101.634
5,Sekolah Menengah Kebangsaan Menjalara,education,3.193501,101.636275
6,Sekolah Kebangsaan Seri Kepong,education,3.1912700000000003,101.647
7,Sekolah Jenis Kebangsaan (Tamil) Ladang Edinburgh,education,3.20258,101.633
8,Sekolah Kebangsaan Taman Bukit Maluri,education,3.2037,101.633
9,Sekolah Menengah Kebangsaan Sinar Bintang,education,3.18868,101.645
10,Tzu Chi International School,education,3.2095517000000005,101.6495568
11,Sekolah Jenis Kebangsaan (Cina) Kepong 3,education,3.18853,101.640709
12,Kolej Tingkatan Enam Desa Mahkota,education,3.188694,101.639831
13,The International School @ Parkcity,education,3.1879,101.6376
14,Brainy Bunch - Bandar Manjalara (new),education,3.193876700000001,101.6301282
15,Sekolah Jenis Kebangsaan (Tamil) Segambut,education,3.195592,101.658441
16,Sekolah Kebangsaan Taman Seri Sinar,education,3.18827,101.654
17,Pintar College,education,3.214637,101.635976
18,Sekolah Jenis Kebangsaan (Cina) Kepong 1,education,3.214727,101.634847
19,Sma Kuala Lumpur,education,3.1973700000000003,101.626
20,Sekolah Jenis Kebangsaan (Cina) Kepong 2,education,3.215564,101.634744
21,Sekolah Menengah Kebangsaan Segambut Jaya,education,3.18552,101.653
22,Brainy Bunch -  Segambut (new),education,3.1852185,101.6537584
23,Sekolah Kebangsaan Bandar Baru Sri Damansara,education,3.206248,101.624316
24,Hibiscus International School,education,3.1900275,101.6602254
25,Sekolah Jenis Kebangsaan (Cina) Jinjang Selatan,education,3.204414,101.664717
26,Sekolah Kebangsaan La Salle 1 Jinjang,education,3.213833,101.6618
27,Sekolah Kebangsaan La Salle 2 Jinjang,education,3.213833,101.6618
28,Sekolah Kebangsaan Taman Ehsan,education,3.219831,101.630681
29,Sekolah Kebangsaan Segambut Makmur,education,3.1811,101.657
30,Lycee Francais de Kuala Lumpur (LFKL),education,3.1790657,101.653807
31,Sekolah Menengah Kebangsaan Raja Abdullah,education,3.20253,101.667
32,Sekolah Jenis Kebangsaan (Cina) Desa Jaya,education,3.216628,101.625497
33,Sekolah Jenis Kebangsaan (Cina) Jinjang Tengah 1,education,3.215125,101.66318
34,Sekolah Menengah Kebangsaan Jinjang,education,3.22255,101.655
35,Sekolah Jenis Kebangsaan (Cina) Jinjang Tengah 2,education,3.2161,101.663088
36,Sekolah Menengah Kebangsaan Kepong,education,3.225578,101.635392
37,Montessori Kids Academy,education,3.195385,101.616422
38,Parkcity Medical Centre,healthcare,3.1894857000000005,101.6382901
39,Klinik Pakar Wanita Kepong Dan Pusat Bersalin,healthcare,3.213106,101.6461102
40,Klinik Kesihatan Jinjang ,healthcare,3.219822,101.654214
41,Kepong,transportation,3.2025,101.6372222
42,Kepong Baru,transportation,3.211774,101.647816
43,Metro Prima,transportation,3.214567,101.640657
44,United Point,transportation,3.191692,101.655263
45,Jinjang,transportation,3.209457,101.655616
46,Kepong Sentral,transportation,3.207946,101.628578
47,Kepong Sentral,transportation,3.2086111,101.6280556
48,Sri Damansara East,transportation,3.198734,101.621178
49,Sri Delima,transportation,3.207584,101.665178
50,Segambut,transportation,3.1863889,101.6638889
51,Sekolah Menengah Kebangsaan Bandar Tun Razak,education,3.09148,101.724
52,Sekolah Menengah Integrasi Sains Tahfiz (Smista) Maiwp,education,3.091619,101.718231
53,Sekolah Kebangsaan Bandar Tun Razak 2,education,3.09157,101.725
54,Sekolah Kebangsaan Bandar Tun Razak 1,education,3.09163,101.725
55,Sekolah Jenis Kebangsaan (Cina) Imbi,education,3.08873,101.730283
56,Sekolah Menengah Kebangsaan Seri Mulia,education,3.093455,101.713956
57,Sekolah Menengah Kebangsaan Seri Mutiara,education,3.08861,101.731
58,Sekolah Menengah Kebangsaan Desa Petaling,education,3.081886175,101.7121859
59,Sekolah Kebangsaan Taman Midah 2,education,3.09583,101.728
60,Sekolah Kebangsaan Taman Midah,education,3.0954,101.73
61,Sma Majlis Agama Islam Wilayah Persekutuan,education,3.094785,101.711802
62,Sekolah Kebangsaan Desa Petaling,education,3.08338,101.709
63,Sekolah Kebangsaan Bandar Tasik Selatan,education,3.07398,101.72
64,Sekolah Menengah Kebangsaan Seri Tasik,education,3.097235,101.711554
65,UCSI University Malaysia,education,3.079619,101.733266
66,Sekolah Kebangsaan Seri Tasik,education,3.096984,101.710667
67,Sekolah Menengah Kebangsaan Bandar Tasik Selatan,education,3.072738357,101.7191987
68,Brainy Bunch - Bandar Sri Permaisuri,education,3.0988798,101.7122545
69,Sekolah Jenis Kebangsaan (Cina) Taman Connaught,education,3.083973,101.735862
70,Sekolah Menengah Kebangsaan Taman Connaught,education,3.08352,101.736
71,Smt Cheras,education,3.10325,101.722
72,Sekolah Menengah Sains Selangor,education,3.10323,101.72
73,Sekolah Kebangsaan Seri Permaisuri,education,3.104561,101.716918
74,Sekolah Kebangsaan Desa Tasik,education,3.07115,101.713
75,Sekolah Menengah Kebangsaan Orkid Desa,education,3.077156,101.736661
76,Sekolah Menengah Sains Alam Shah,education,3.1056,101.724
77,Sekolah Jenis Kebangsaan (Cina) Kwong Hon,education,3.0676240000000004,101.716571
78,Sekolah Menengah Kebangsaan Seri Permaisuri,education,3.107298,101.717493
79,Sekolah Kebangsaan Sg Besi,education,3.06717,101.716
80,Al-Madinah International University,education,3.083603,101.700451
81,Sekolah Jenis Kebangsaan (Tamil) Sg Besi,education,3.06662708,101.7147567
82,Sekolah Menengah Kebangsaan Sungai Besi,education,3.06653,101.715
83,Sekolah Jenis Kebangsaan (Cina) Salak South,education,3.086843,101.699238
84,Sekolah Menengah Kebangsaan Cheras,education,3.10927,101.727
85,COSMOTOTS iqd - Cheras,education,3.0735454,101.7394936
86,A Star Kids - Taman Len Seng,education,3.1015277,101.7403855
87,Sekolah Kebangsaan Taman Segar,education,3.09058,101.745
88,Sekolah Jenis Kebangsaan (Cina) Tai Thung,education,3.106086,101.705617
89,Sekolah Kebangsaan Salak South,education,3.080908339,101.6972446
90,Universiti Pertahanan Nasional Malaysia (Upnm),education,3.0628490000000004,101.715436
91,Sekolah Kebangsaan Pengkalan Tentera Darat,education,3.06232,101.717
92,Sekolah Kebangsaan Seri Anggerik,education,3.07488,101.745
93,Klinik Kesihatan Bandar Tun Razak ,healthcare,3.087158,101.720489
94,Pusat Pakar Ukm,healthcare,3.09822,101.726
95,Pantai Hospital Cheras,healthcare,3.1025897,101.7406991
96,Klinik Kesihatan Sungai Besi,healthcare,3.063225,101.710439
97,Bandar Tun Razak,transportation,3.089669,101.7125175
98,Bandar Tasik Selatan,transportation,3.0760769,101.7113663
99,Bandar Tasik Selatan,transportation,3.0760769,101.7113663
100,Bandar Tasik Selatan,transportation,3.0760769,101.7113663
101,Salak Selatan,transportation,3.0980556,101.7052778
102,Taman Mutiara,transportation,3.091327,101.740295
103,Taman Midah,transportation,3.104317,101.73214
104,Salak Selatan,transportation,3.1022403,101.7063846
105,Taman Naga Emas,transportation,3.07792,101.699439
106,Taman Connaught,transportation,3.079173,101.74514
107,Sungai Besi,transportation,3.064711,101.708523
108,Sungai Besi,transportation,3.064069,101.708371
109,Taman Pertama,transportation,3.11262,101.729256
110,Sekolah Jenis Kebangsaan (Cina) Khai Chee,education,3.18574,101.67
111,Sekolah Menengah Kebangsaan Segambut,education,3.1870700000000003,101.668
112,Sekolah Kebangsaan Segambut,education,3.1876,101.668
113,Sekolah Menengah Kebangsaan (P) Jalan Ipoh,education,3.18715,101.681
114,Sekolah Menengah Kebangsaan Kiaramas,education,3.17865,101.663
115,Young Aces Technical College,education,3.189785,101.678929
116,Sekolah Kebangsaan Kiaramas,education,3.17662,101.663
117,Trinity Kids - Solaris Dutamas,education,3.1708952,101.666093
118,The children's house - Mont Kiara,education,3.1735011,101.6626137
119,Sekolah Jenis Kebangsaan (Cina) Lai Chee,education,3.190853,101.682198
120,Hibiscus International School,education,3.1900275,101.6602254
121,Sekolah Kebangsaan Sri Dhandayuthapani,education,3.17593,101.688
122,Sekolah Kebangsaan Segambut Makmur,education,3.1811,101.657
123,Sekolah Jenis Kebangsaan (Tamil) Thamboosamy Pillai,education,3.179345,101.68917
124,Sekolah Kebangsaan Sentul Utama,education,3.17572,101.69
125,Sekolah Jenis Kebangsaan (Cina) Chi Man,education,3.185308,101.690673
126,Sekolah Menengah Sains Seri Puteri,education,3.17042,101.688
127,Sekolah Menengah Kebangsaan Raja Ali,education,3.199631,101.674625
128,Sekolah Kebangsaan La Salle (1) Sentul,education,3.1801,101.691742
129,Sekolah Menengah Kebangsaan Sentul Utama,education,3.1756,101.691
130,Sekolah Menengah Kebangsaan Convent Sentul,education,3.18662,101.691
131,Sekolah Menengah Kebangsaan La Salle Sentul,education,3.180112,101.691876
132,Sekolah Jenis Kebangsaan (Tamil) St. Joseph,education,3.186604,101.691351
133,Lycee Francais de Kuala Lumpur (LFKL),education,3.1790657,101.653807
134,Brainy Bunch -  Segambut (new),education,3.1852185,101.6537584
135,Sekolah Kebangsaan (2) Batu 4 Jalan Ipoh,education,3.20102,101.674
136,Sekolah Kebangsaan (1) Batu 4 Jalan Ipoh,education,3.20103,101.674
137,Sekolah Jenis Kebangsaan (Tamil) Sentul,education,3.17908,101.693
138,The children's house - Aman Walk,education,3.1722407,101.6548194
139,Sekolah Kebangsaan Sentul 2,education,3.19213,101.69
140,Sekolah Kebangsaan Taman Seri Sinar,education,3.18827,101.654
141,Sekolah Jenis Kebangsaan (Cina) Sentul,education,3.179826,101.693327
142,Sekolah Menengah Kebangsaan Segambut Jaya,education,3.18552,101.653
143,Sekolah Jenis Kebangsaan (Tamil) Segambut,education,3.195592,101.658441
144,Sekolah Kebangsaan Sentul 1,education,3.19275,101.69
145,Sekolah Menengah Kebangsaan Maxwell,education,3.171138482,101.6913476
146,Sekolah Menengah Kebangsaan (L) Methodist Sentul,education,3.17923,101.694
147,Mont'Kiara International School (MKIS),education,3.1737515,101.65315859999998
148,Sekolah Kebangsaan (L) Methodist Sentul,education,3.1786,101.694
