project_id,asset_id,latitude,longitude,project_name,state,area,street_name,transaction_count,median_psf,median_price
9440,3784.0,5.345610142,100.2710037,Desa Alor Vista,Penang,Relau,LEBUH RELAU 4,9,405.0,283056
9504,3848.0,5.400909901,100.3290024,Desa Pinang 1,Penang,Sungai Pinang,LEBUH SUNGAI PINANG 1,9,344.0,201112
9511,3855.0,5.331724,100.279148,Desa Rahmat,Penang,Relau,JALAN RELAU,9,320.0,223667
9653,3997.0,5.451454,100.305767,Fettes Residence,Penang,Tanjung Tokong,JALAN TANJUNG TOKONG,9,579.0,1164223
9758,4102.0,5.440949917,100.3059998,Grand View,Penang,Persiaran Gurney,JALAN TANJUNG TOKONG,9,421.0,486667
14302,8635.0,5.390694,100.295713,Greenlane Heights Block H,Penang,Greenlane,JALAN GANGSA,9,264.0,144667
9778,4122.0,5.388339996,100.2959976,Greenlane Park Condominium,Penang,Greenlane,SOLOK TEMBAGA,9,527.0,487778
27896,417004.0,5.2744395,100.5111097,Hijauan Hill,Penang,Simpang Ampat,JALAN HIJAUAN HILLS 11,9,235.0,551656
14329,8662.0,5.333267,100.269942,Idaman Lavender 2,Penang,Sungai Ara,LILITAN SUNGAI ARA,9,447.0,336445
10403,4744.0,5.410999775,100.3180008,Medan Ria,Penang,Georgetown,JALAN SAMAK,9,522.0,366667
10729,5070.0,5.326600075,100.2799988,Olive Tree Residences,Penang,Bayan Baru,PERSIARAN MAHSURI 2,9,486.0,825367
10786,264553.0,5.417580128,100.3769989,Palm Villas,Penang,Raja Uda,LORONG SERI CEMERLANG 1,9,343.0,613334
10791,264555.0,5.33905983,100.2149963,Palmyra Residences,Penang,Balik Pulau,JALAN SUNGAI NIPAH 6,9,364.0,527778
17933,267368.0,5.33819,100.470597,Pangsapuri Desa Palma,Penang,Alma,LORONG DESA PALMA 1,9,103.0,66223
11097,263860.0,5.32449007,100.2819977,Promenade,Penang,Bayan Baru,PERSIARAN MAHSURI,9,508.0,538223
17385,267287.0,5.3742762,100.2790719,Sun Moon City,Penang,Paya Terubong,TINGKAT PAYA TERUBONG 2,9,191.0,131000
17628,267694.0,5.4131276,100.4386155,Taman Ara Indah,Penang,Permatang Pauh,LORONG ARA INDAH 1/1,9,320.0,243889
9009,264150.0,5.329810143,100.4520035,Taman Bukit Minyak Permai (BM Permai),Penang,Bukit Minyak,LORONG BUKIT MINYAK PERMAI 1,9,285.0,514778
27975,,5.3742472,100.4384692,Taman Camellia,Penang,Bandar Perda,JALAN PERDA BARAT,9,319.0,384704
17529,267616.0,5.1773695,100.4689608,Taman Cowin,Penang,Nibong Tebal,JALAN OOI KAR SENG,9,142.0,276112
17622,267689.0,5.356297,100.4712317,Taman Jaya,Penang,Bukit Mertajam,JALAN MAWAR,9,232.0,345334
17472,267577.0,5.3470925,100.523401,Taman Machang Manis,Penang,Bukit Mertajam,JALAN KULIM,9,109.0,325556
17503,267596.0,5.4484835,100.3869069,Taman Perkasa,Penang,Bagan Ajam,JALAN PERMATANG TENGAH,9,304.0,589667
17539,267624.0,5.502831,100.4350603,Taman Seri Serdang,Penang,Bukit Mertajam,LORONG SRI SERDANG 4/6,9,179.0,212778
17568,267646.0,5.4315146,100.3833443,Taman Sin Tat,Penang,Raja Uda,TINGKAT MELUR 3,9,246.0,374778
17563,267642.0,5.445,100.3854055,Taman Sri Ceraya,Penang,Raja Uda,LORONG MERANTI 7,9,234.0,302756
17397,267516.0,5.208771,100.537482,Taman Sungai Duri Permai,Penang,Sungai Jawi,LORONG SUNGAI DURI PERMAI 11,9,76.0,176848
17366,267283.0,5.428821,100.38827,Taman Tanjung Indah,Penang,Raja Uda,LORONG TANJUNG INDAH 4,9,278.0,389223
13370,7707.0,5.362750053,100.3160019,The Light Collection III,Penang,Gelugor,JALAN PANTAI SINARAN,9,787.0,1572223
17177,265689.0,5.301649,100.264254,Tree Residency @ One Residence,Penang,Bayan Lepas,LORONG RAJAWALI 5,9,824.0,1591334
15270,9603.0,5.425553,100.375717,Vista Perdana,Penang,Kampung Gajah,JALAN KAMPUNG GAJAH,9,245.0,228278
17294,267433.0,5.319154,100.43525,Taman Seri Delima,Penang,Juru,JALAN DELIMA 1,57,225.0,179178
11297,5634.0,5.405785,100.32867,Sandilands,Penang,Georgetown,JALAN C.Y CHOY,56,541.0,721938
17376,267496.0,5.320349,100.4738419,Taman Seri Kijang,Penang,Alma,LORONG SRI KIJANG 11,56,201.0,276036
15618,9951.0,5.340142,100.427307,"Flat Taman Pelangi, Seberang Perai",Penang,Seberang Perai,JALAN PELANGI 1,54,122.0,69124
9872,4216.0,5.331870079,100.2699966,Idaman Lavender,Penang,Sungai Ara,SOLOK RAJAWALI 4,54,440.0,330371
13993,8326.0,5.369379,100.428208,"Apartment Permata, Bandar Perda",Penang,Bandar Perda,JALAN PERDA BARAT,53,175.0,109223
17916,267950.0,5.41256,100.383123,Taman Bagan,Penang,Butterworth,JALAN BAGAN 21,53,198.0,255491
