,project_id,latitude,longitude,township,state,area,median_psf,median_price,poi_nearby_education,poi_nearby_transportation,poi_nearby_healthcare,nearest_school,nearest_train_station,nearest_hospital,total_poi_nearby,nearest_poi,transaction_count
6276,10375,3.08794,101.662003,Maxwell Towers,Selangor,Petaling Jaya,406.0,766500.0,38,6,4,413.8947556756215,313.3913749666394,1950.9546069207847,48,313.3913749666394,2
6277,15826,3.034166,101.699699,Megaria Lili,Selangor,Seri Kembangan,267.5,219000.0,15,5,0,728.2215853242373,1097.8638774442436,6795.865566324691,20,728.2215853242373,2
6278,15827,3.024293,101.693003,Megaria Orkid,Selangor,Seri Kembangan,214.0,267500.0,18,4,0,659.1026752738401,1719.1680289989145,6110.710608790027,22,659.1026752738401,2
6279,10891,3.1662653,101.6152027,My Loft @ Empire City,Selangor,Damansara Perdana,848.0,420000.0,24,3,1,990.432702378994,1419.0834240042154,1619.0251253638803,28,990.432702378994,1
6280,10712,3.20367,101.765999,Nusa Tropika,Selangor,Ulu Kelang,676.0,1950000.0,18,0,2,761.143466099257,3225.0469315703053,2435.7901386910976,20,761.143466099257,2
6281,22635,2.8352128,101.5952404,Olak Lempit,Selangor,Banting,198.5,277500.0,1,0,1,833.973338311421,13142.690353107959,7225.734509646025,2,833.973338311421,2
6282,10740,3.172869,101.734718,One Jelatek,Selangor,Keramat,470.0,679600.0,54,10,6,876.541767396965,321.1075729548455,1332.7090398782502,70,321.1075729548455,2
6283,14557,3.162674,101.57891,"Palma Perak, Seksyen 6 Kota Damansara",Selangor,Kota Damansara,348.0,300000.0,21,4,2,532.5904539109348,1388.075398917394,1462.3921149399043,27,532.5904539109348,1
6284,14632,3.038472,101.766655,Pangsapuri Kasturi Mewah,Selangor,Batu 9th Cheras,298.5,225000.0,18,4,4,760.7367568345915,791.5833611629942,871.8901350099212,26,760.7367568345915,2
6285,15950,3.025728,101.725153,"Pangsapuri Kuang, Taman Sungai Besi Indah",Selangor,Seri Kembangan,157.5,110000.0,16,4,1,285.7461207055004,1077.348703885151,4249.77164669583,21,285.7461207055004,2
6286,10839,3.0438,101.707001,Parc @ One South (Phase 2),Selangor,Seri Kembangan,514.0,625000.0,21,7,1,1427.3717428922846,1685.186968074344,6365.367152340473,29,1427.3717428922846,2
6287,28354,0.0,0.0,Pekan Sabak Bernam,Selangor,Sabak Bernam,173.0,329400.0,0,0,0,11148747.730357049,11166707.407256505,11152762.883457733,0,11148747.730357049,2
6288,13121,3.0324,101.724998,Taman Sungai Besi Indah,Selangor,Seri Kembangan,244.0,275000.0,16,3,1,755.1771093408747,1451.071824857122,4219.476532633184,20,755.1771093408747,69
6289,9085,3.170933,101.51226,Bukit Subang,Selangor,Bukit Subang,322.0,475000.0,6,0,0,184.33843485902398,5832.821369303572,3796.9790756720827,6,184.33843485902398,68
6290,10802,3.12773,101.764999,Taman Pandan Mewah,Selangor,Pandan Indah,387.0,375000.0,26,5,3,302.4484233979852,1700.301015113644,189.92296822567022,34,189.92296822567022,74
